orig.order,quadrat,transect,site,year,era,real.date,comm.date,urch,chit,treat,BASP,CCAP,EALM,RFSP,OPCA,RBSP,AGFI,BFSP,DICL,Cris,HEPA,PHPA,BRUP,SPS1,SPS3,SPS8,SPS9,SPS10,SPOT,MSP1,SYSP,SCUN,BRSH,EUBI,DELI,HYSP,EPSC,BAEL,MEFA.c,MEFA,ANE1,GERU,DOCO,DOFE,TUBE,PSOC,VECO,BACR,PSCH,TETR,CHHA,POMA,META,PYST,PEAN,CLHU,DICA,TCM3,DITR,EUPU,SYPA,APPO,APSO,TCM2,TCOT,BOVI,Chel,Core,CNFI,HAIG,Stye,ASPA,TSV1,TSV2,TSOT,INOT,OTHE,HBCO,FUZZ,SHEL,RUBB,richness,diversity,evenness,DETRITUS,BASP,CCAP,EALM,RBSP,RFSP,KELP,HYSP,BRUP,HBCO,SPEN,SPUP,BREN,ZOAN,STCO,SOCO,ANEM,TUCL,TUSO,BARN,PSOL,BRAC,BIVA,ASSO,ASCO,ASUN,FG.detail.R,FG.detail.D,FG.detail.E,space,macroalgae,sponge,hydroid,bryozoan,clonascid,cloninvert,solinvert
11,C1,C1,SC,1969,Birkeland,23851,23849,NA,NA,NA,0.016648169,0.099889012,0.654827969,0,0,0,0,0,0.00554939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016648169,0,0,0,0,0,0,0,0,0,0,0,0,0.000554939,0,0,0.00554939,0.022475028,0,0,0.138734739,0.039123196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.219139178,0.626513602,0,0.016648169,0.099889012,0.654827969,0,0,0,0,0.00554939,0,0,0,0.016648169,0,0,0,0,0,0.000554939,0,0.00554939,0.022475028,0,0.177857936,0,0,6,0.809281546,0.451668631,0.77136515,0,0,0,0.022197558,0.177857936,0,0.028579356
12,D1,D1,SC,1969,Birkeland,23849,23849,NA,NA,NA,0.02728513,0.198158254,0.14324693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02728513,0,0,0,0,0.034447476,0,0,0.007503411,0,0,0,0,0.001023192,0,0,0.068553888,0.006821282,0,0,0.082537517,0,0,0,0.246248295,0,0,0,0,0,0.054570259,0,0,0.006821282,0,0,0.006821282,0,0,0,0,0,0,0,0,0,0.088676671,0,0,11,1.698787301,0.708449331,0.088676671,0.02728513,0.198158254,0.14324693,0,0,0,0,0,0,0,0,0.02728513,0,0.034447476,0,0.007503411,0,0.001023192,0,0.068553888,0.006821282,0,0.082537517,0.300818554,0.013642565,9,1.418856867,0.645749589,0.368690314,0,0,0,0.02728513,0.383356071,0,0.131991814
13,A1,A1,SC,1969,Birkeland,23984,23984,NA,NA,NA,0.210696921,0.081037277,0.162074554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032414911,0,0,0,0.151269584,0,0,0,0,0,0,0,0.005672609,0,0,0.011075095,0,0.021609941,0,0,0.313344138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01080497,0,0,6,1.098390224,0.613023256,0.01080497,0.210696921,0.081037277,0.162074554,0,0,0,0,0,0,0,0,0.032414911,0.151269584,0,0,0,0,0.005672609,0.011075095,0,0.021609941,0,0.313344138,0,0,6,1.098390224,0.613023256,0.453808752,0,0,0,0.032414911,0.313344138,0.151269584,0.038357645
14,B1,B1,SC,1969,Birkeland,23984,23984,NA,NA,NA,0,0.000335008,0.180904523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013400335,0.060301508,0,0,0.007035176,0.093802345,0,0,0,0,0,0,0,0.006700168,0,0,0.18760469,0.034170854,0,0,0.194304858,0,0,0,0.053936348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167504188,0,0,9,1.755665359,0.799037739,0.167504188,0,0.000335008,0.180904523,0,0,0,0,0,0,0,0,0.073701843,0.007035176,0.093802345,0,0,0,0.006700168,0,0.18760469,0.034170854,0,0.194304858,0.053936348,0,8,1.702007618,0.81849265,0.181239531,0,0,0,0.073701843,0.248241206,0.007035176,0.322278057
15,C1,C1,SC,1969,Birkeland,23984,23984,NA,NA,NA,0.053444181,0.024049881,0.255344418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005938242,0,0,0,0,0,0,0,0,0,0,0,0,0.000296912,0,0.558194774,0.005938242,0.011876485,0,0,0.07304038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011876485,0,6,0.542585196,0.302822564,0.011876485,0.053444181,0.024049881,0.255344418,0,0,0,0,0,0,0,0,0.005938242,0,0,0,0,0,0.000296912,0.558194774,0.005938242,0.011876485,0,0.07304038,0,0,6,0.542585196,0.302822564,0.33283848,0,0,0,0.005938242,0.07304038,0,0.576306413
16,D1,D1,SC,1969,Birkeland,23984,23984,NA,NA,NA,0,0.192743764,0.243764172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005668934,0,0,0,0,0.028628118,0,0,0.006802721,0,0,0,0,0,0,0,0.028344671,0.005668934,0,0,0.142573696,0,0,0,0.260770975,0,0,0,0,0,0.034013605,0,0,0.017006803,0,0,0.011337868,0,0,0,0,0,0,0,0,0,0.022675737,0,0,10,1.527688071,0.663466499,0.022675737,0,0.192743764,0.243764172,0,0,0,0,0,0,0,0,0.005668934,0,0.028628118,0,0.006802721,0,0,0,0.028344671,0.005668934,0,0.142573696,0.29478458,0.028344671,8,1.297481879,0.623956891,0.436507937,0,0,0,0.005668934,0.437358277,0,0.097789116
17,A1,A1,SC,1969,Birkeland,24040,24040,NA,NA,NA,0.231724527,0.056731583,0.068021451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050804403,0,0,0,0.084674005,0,0,0,0,0,0,0,0.016934801,0,0,0.005644934,0,0.016934801,0,0,0.462884561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005644934,0,0,6,0.936782277,0.522828144,0.005644934,0.231724527,0.056731583,0.068021451,0,0,0,0,0,0,0,0,0.050804403,0.084674005,0,0,0,0,0.016934801,0.005644934,0,0.016934801,0,0.462884561,0,0,6,0.936782277,0.522828144,0.356477561,0,0,0,0.050804403,0.462884561,0.084674005,0.039514536
18,B1,B1,SC,1969,Birkeland,24040,24040,NA,NA,NA,0.031989763,0,0.223928343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063979527,0.070377479,0,0,0.006397953,0.083493282,0,0,0,0,0,0,0,0.000319898,0,0.000319898,0.153550864,0.038707614,0.012795905,0,0.230966091,0,0,0,0.038387716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044785669,0,0,11,1.845135014,0.769481067,0.044785669,0.031989763,0,0.223928343,0,0,0,0,0,0,0,0,0.134357006,0.006397953,0.083493282,0,0,0,0.000319898,0.000319898,0.153550864,0.038707614,0.012795905,0.230966091,0.038387716,0,10,1.712177354,0.743589177,0.255918106,0,0,0,0.134357006,0.269353807,0.006397953,0.28918746
19,C1,C1,SC,1969,Birkeland,24040,24040,NA,NA,NA,0.179844961,0.03751938,0.434108527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018604651,0,0,0,0,0,0,0,0,0,0,0,0,0.012403101,0,0.130232558,0.00620155,0.012403101,0,0,0.075658915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093023256,0,6,1.278610213,0.713605947,0.093023256,0.179844961,0.03751938,0.434108527,0,0,0,0,0,0,0,0,0.018604651,0,0,0,0,0,0.012403101,0.130232558,0.00620155,0.012403101,0,0.075658915,0,0,6,1.278610213,0.713605947,0.651472868,0,0,0,0.018604651,0.075658915,0,0.16124031
20,D1,D1,SC,1969,Birkeland,24040,24040,NA,NA,NA,0.069907849,0.133460439,0.101684144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031776295,0,0,0,0,0.025738799,0,0,0.019701303,0,0,0,0,0.000317763,0,0,0.038131554,0.012710518,0,0,0.128058468,0,0,0,0.336828726,0,0,0,0,0,0.050842072,0,0,0,0,0,0.012710518,0,0,0,0.006355259,0,0,0,0,0,0.025421036,0.006355259,0,11,1.598701582,0.666710344,0.031776295,0.069907849,0.133460439,0.101684144,0,0,0,0,0,0,0,0,0.031776295,0,0.025738799,0,0.019701303,0,0.000317763,0,0.038131554,0.012710518,0,0.128058468,0.387670798,0.019065777,9,1.353259852,0.615895101,0.305052431,0,0,0,0.031776295,0.515729266,0,0.115665713
21,A1,A1,SC,1970,Birkeland,24123,24123,NA,NA,NA,0.329242742,0.072134092,0.113738402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041903622,0,0,0,0.119724633,0,0,0,0,0,0,0,0.005986232,0,0,0,0,0.029931158,0,0,0.263394193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023944927,0,0,5,1.121889188,0.697068946,0.023944927,0.329242742,0.072134092,0.113738402,0,0,0,0,0,0,0,0,0.041903622,0.119724633,0,0,0,0,0.005986232,0,0,0.029931158,0,0.263394193,0,0,5,1.121889188,0.697068946,0.515115235,0,0,0,0.041903622,0.263394193,0.119724633,0.03591739
22,B1,B1,SC,1970,Birkeland,24123,24123,NA,NA,NA,0.06103764,0,0.271278399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04747372,0.04069176,0,0,0.007121058,0.088504578,0,0,0,0,0,0,0,0.001017294,0,0,0.190233978,0.04747372,0,0,0.082400814,0,0,0,0.07460156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08816548,0,0,9,1.855533232,0.844489567,0.08816548,0.06103764,0,0.271278399,0,0,0,0,0,0,0,0,0.08816548,0.007121058,0.088504578,0,0,0,0.001017294,0,0.190233978,0.04747372,0,0.082400814,0.07460156,0,8,1.750531315,0.841827616,0.332316039,0,0,0,0.08816548,0.157002374,0.007121058,0.327229569
23,C1,C1,SC,1970,Birkeland,24123,24123,NA,NA,NA,0.104895105,0.076048951,0.594405594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006410256,0,0.018356643,0.005827506,0.017482517,0,0,0.071386946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10518648,0,5,1.181025446,0.733812368,0.10518648,0.104895105,0.076048951,0.594405594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006410256,0.018356643,0.005827506,0.017482517,0,0.071386946,0,0,5,1.181025446,0.733812368,0.77534965,0,0,0,0,0.071386946,0,0.048076923
24,D1,D1,SC,1970,Birkeland,24123,24123,NA,NA,NA,0.013046314,0.195694716,0.150032616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019569472,0,0,0,0,0.03359426,0,0,0.026744945,0,0,0,0,0,0,0,0.084801044,0.013046314,0,0,0.032941944,0,0,0,0.234833659,0,0,0,0,0,0.0456621,0,0,0.006523157,0,0,0.013046314,0,0,0,0.006523157,0,0,0,0,0,0.123939987,0,0,11,1.795121983,0.748624013,0.123939987,0.013046314,0.195694716,0.150032616,0,0,0,0,0,0,0,0,0.019569472,0,0.03359426,0,0.026744945,0,0,0,0.084801044,0.013046314,0,0.032941944,0.28049576,0.026092629,8,1.501774754,0.722200997,0.358773646,0,0,0,0.019569472,0.313437704,0,0.184279191
25,A1,A1,SC,1970,Birkeland,24215,24215,NA,NA,NA,0.415344678,0.126910874,0.155754254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011537352,0,0,0,0.126910874,0,0,0,0,0,0,0,0.005768676,0,0,0,0,0.034612057,0,0,0.07124315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051918085,0,0,5,1.204521524,0.748411302,0.051918085,0.415344678,0.126910874,0.155754254,0,0,0,0,0,0,0,0,0.011537352,0.126910874,0,0,0,0,0.005768676,0,0,0.034612057,0,0.07124315,0,0,5,1.204521524,0.748411302,0.698009807,0,0,0,0.011537352,0.07124315,0.126910874,0.040380733
26,B1,B1,SC,1970,Birkeland,24215,24215,NA,NA,NA,0.091827365,0.012243649,0.336700337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018365473,0.048974594,0,0,0.018365473,0.073461892,0,0,0,0,0,0,0,0.00765228,0,0,0.177532905,0.036730946,0,0,0.043464953,0,0,0,0.048974594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079583716,0.006121824,0,9,1.862505328,0.847662705,0.08570554,0.091827365,0.012243649,0.336700337,0,0,0,0,0,0,0,0,0.067340067,0.018365473,0.073461892,0,0,0,0.00765228,0,0.177532905,0.036730946,0,0.043464953,0.048974594,0,8,1.779176578,0.855603076,0.44077135,0,0,0,0.067340067,0.092439547,0.018365473,0.295378023
27,C1,C1,SC,1970,Birkeland,24215,24215,NA,NA,NA,0.059701493,0.095820896,0.668656716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005970149,0,0,0,0,0,0,0,0,0,0,0,0,0.013134328,0,0.006268657,0.005970149,0.023880597,0,0,0.077910448,0.000298507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04238806,0,7,1.285622212,0.660679124,0.04238806,0.059701493,0.095820896,0.668656716,0,0,0,0,0,0,0,0,0.005970149,0,0,0,0,0,0.013134328,0.006268657,0.005970149,0.023880597,0,0.078208955,0,0,6,1.270932204,0.709320768,0.824179104,0,0,0,0.005970149,0.078208955,0,0.049253731
28,D1,D1,SC,1970,Birkeland,24215,24215,NA,NA,NA,0.017714792,0.253912017,0.159433127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023619722,0,0,0,0,0.047239445,0,0,0.006200177,0,0,0,0.011809861,0.000590493,0,0,0.09447889,0.005904931,0,0,0.042220254,0,0,0,0.18895778,0,0,0,0,0,0.03572483,0,0,0.005904931,0,0,0.005904931,0,0,0,0.005904931,0,0,0,0,0,0.09447889,0,0,13,1.85237654,0.722188348,0.09447889,0.017714792,0.253912017,0.159433127,0,0,0,0,0,0,0,0,0.023619722,0,0.047239445,0,0.006200177,0,0.012400354,0,0.09447889,0.005904931,0,0.042220254,0.22468261,0.017714792,9,1.598933425,0.727705962,0.431059935,0,0,0,0.023619722,0.266902864,0,0.183938589
29,A1,A1,SC,1970,Birkeland,24302,24302,NA,NA,NA,0.06574622,0.138067061,0.433925049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013149244,0.124917817,0,0,0,0.151216305,0,0,0,0,0,0,0,0,0,0,0,0,0.03287311,0,0,0.033530572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006574622,0,0,5,1.295763608,0.805103197,0.006574622,0.06574622,0.138067061,0.433925049,0,0,0,0,0,0,0,0,0.138067061,0.151216305,0,0,0,0,0,0,0,0.03287311,0,0.033530572,0,0,4,1.173687153,0.846636318,0.63773833,0,0,0,0.138067061,0.033530572,0.151216305,0.03287311
30,C1,C1,SC,1970,Birkeland,24302,24302,NA,NA,NA,0.010732493,0.14488865,0.783471961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005366246,0,0,0,0,0,0.006171183,0,0,0.016098739,0.021464985,0,0,0.006439496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005366246,0,5,1.446114403,0.898521398,0.005366246,0.010732493,0.14488865,0.783471961,0,0,0,0,0,0,0,0,0,0,0,0,0.005366246,0,0.006171183,0,0.016098739,0.021464985,0,0.006439496,0,0,5,1.446114403,0.898521398,0.939093104,0,0,0,0,0.006439496,0,0.049101154
31,D1,D1,SC,1970,Birkeland,24302,24302,NA,NA,NA,0.005938242,0.231591449,0.20783848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011876485,0,0,0,0,0.012767221,0,0,0.006235154,0,0,0,0.005938242,0.000890736,0,0,0.095011876,0,0,0,0.065320665,0,0,0,0.225653207,0,0,0,0,0,0.035926366,0,0,0.023752969,0,0,0.011876485,0,0,0,0.005938242,0,0,0,0,0,0.053444181,0,0,12,1.71534136,0.690304145,0.053444181,0.005938242,0.231591449,0.20783848,0,0,0,0,0,0,0,0,0.011876485,0,0.012767221,0,0.006235154,0,0.006828979,0,0.095011876,0,0,0.065320665,0.261579572,0.041567696,8,1.421974671,0.683825268,0.445368171,0,0,0,0.011876485,0.326900238,0,0.162410926
32,A1,A1,SC,1972,Birkeland,24842,24842,NA,NA,NA,0.264150943,0.169811321,0.257861635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13836478,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0.025157233,0,0,0.056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06918239,0,0,4,1.0949817,0.789862334,0.06918239,0.264150943,0.169811321,0.257861635,0,0,0,0,0,0,0,0,0,0.13836478,0,0,0,0,0.018867925,0,0,0.025157233,0,0.056603774,0,0,4,1.0949817,0.789862334,0.691823899,0,0,0,0,0.056603774,0.13836478,0.044025157
33,B1,B1,SC,1972,Birkeland,24842,24842,NA,NA,NA,0.025109856,0.012554928,0.345260515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043942247,0.087884495,0,0,0.006277464,0.094475832,0,0,0,0,0,0,0,0.000313873,0,0,0.194601381,0.03138732,0,0,0.013810421,0,0,0,0.087884495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056497175,0,0,9,1.755082927,0.798772663,0.056497175,0.025109856,0.012554928,0.345260515,0,0,0,0,0,0,0,0,0.131826742,0.006277464,0.094475832,0,0,0,0.000313873,0,0.194601381,0.03138732,0,0.013810421,0.087884495,0,8,1.605398744,0.772033602,0.382925298,0,0,0,0.131826742,0.101694915,0.006277464,0.320778406
