quad,site,real.date,comm.date,month,urch,chit,treat,BASP,CCAP,EALM,RFSP,OPCA,RBSP,AGFI,BFSP,DICL,Cris,HEPA,PHPA,BRUP,HBCO,SPS1,SPS3,SPS8,SPS9,SPS10,SPOT,MSP1,SYSP,SCUN,BRSH,EUBI,DELI,HYSP,EPSC,BAEL,MEFA.t,GERU,DOCO,DOFE,TUBE,PSOC,VECO,BACR,PSCH,TETR,CHHA,POMA,META,PYST,PEAN,CLHU,DICA,TCM3,DITR,EUPU,SYPA,APPO,APSO,TCM2,TCOT,BOVI,Chel,Core,CNFI,HAIG,Stye,ASPA,TSV1,TSV2,TSOT,INOT,OTHE,SHEL,FUZZ,RUBB,richness,diversity,evenness,DETRITUS,BASP,CCAP,EALM,RBSP,RFSP,KELP,HYSP,BRUP,HBCO,SPEN,SPUP,BREN,ZOAN,STCO,SOCO,ANEM,TUCL,TUSO,BARN,PSOL,BRAC,BIVA,ASSO,ASCO,ASUN,space,macroalgae,redalgae,sponge,hydroid,bryozoan,clonascid,cloninvert,solinvert,invert.tot,,
ON2_82,ON,8-Dec-07,39426,712,u_con,c_con,u_con.c_con,0.000114732,0.041532813,0.300711335,0,0,0,0,0,0,0,0,0,0,0.004589261,0.254818724,0,0,0,0,0,0,0,0.009178522,0.004589261,0,0,0,0,0.002294631,0,0,0,0,0.101193208,0.014685636,0.002294631,0,0,0,0.002294631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004589261,0,0,0.002294631,0.013767783,0,0,0,0,0,0,0,0.050596604,0.190454337,0,14,1.526274318,0.578340721,0.241050941,0.000114732,0.041532813,0.300711335,0,0,0,0,0,0.004589261,0.254818724,0,0.013767783,0,0.002294631,0,0,0,0.118173474,0,0,0,0.002294631,0,0,0.020651675,0.34235888,0,0,0.254818724,0,0.013767783,0,0,0.14341441,0.416590179,,
ON2_83,ON,8-Dec-07,39426,712,u_con,c_con,u_con.c_con,0.076385858,0.05674378,0.661283282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017459625,0.006547359,0,0,0,0,0.002182453,0,0,0,0,0.069838498,0.000109123,0.006547359,0.013094718,0,0,0,0,0.004583151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197512,0.065473592,0,10,0.842973376,0.366098685,0.085224793,0.076385858,0.05674378,0.661283282,0,0,0,0,0,0,0,0,0.024006984,0,0.002182453,0,0,0,0.07649498,0.013094718,0,0,0,0.004583151,0,0,0.79441292,0,0,0,0,0.024006984,0.004583151,0,0.091772152,0.120362287,,
ON3_16,ON,8-Dec-07,39426,712,u_rem,c_con,u_rem.c_con,0.167055644,0.115464931,0.240756664,0,0,0,0,0,0,0,0,0,0,0.002456701,0.03685051,0,0,0.014740204,0,0,0,0,0.046677312,0.024567007,0,0,0,0,0.063997052,0,0,0,0,0.054047414,0.006755927,0,0,0,0,0,0,0.049748188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171969046,0.004913401,0,11,1.928013756,0.804044187,0.176882447,0.167055644,0.115464931,0.240756664,0,0,0,0,0,0.002456701,0.051590714,0,0.071244319,0,0.063997052,0,0,0,0.060803341,0,0,0,0,0.049748188,0,0,0.523277239,0,0,0.051590714,0,0.071244319,0.049748188,0,0.124800393,0.299840314,,
ON3_77,ON,8-Dec-07,39426,712,u_rem,c_con,u_rem.c_con,0.0653366,0.144790573,0.382685801,0,0,0,0,0,0,0,0,0,0,0.0093338,0.1166725,0,0,0,0,0,0,0,0.0140007,0.0606697,0.00700035,0,0.0046669,0,0.035351768,0,0,0,0,0.02566795,0.04480224,0,0,0.01166725,0.0046669,0,0,0.047019018,0,0,0,0.00233345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093338,0.01166725,15,1.901384673,0.702123126,0.02100105,0.0653366,0.144790573,0.382685801,0,0,0,0.0046669,0,0.0093338,0.1166725,0,0.08167075,0,0.035351768,0,0,0,0.07047019,0,0.01166725,0.0046669,0,0.047019018,0.00233345,0,0.592812974,0,0,0.1166725,0.0046669,0.08167075,0.049352468,0,0.122156108,0.383852526,,
ON3_78,ON,8-Dec-07,39426,712,u_rem,c_rem,u_rem.c_rem,0.087408457,0.366170565,0.217339948,0,0,0,0,0,0,0,0,0,0,0.028348689,0.03071108,0,0,0,0,0,0,0,0.023623907,0.007087172,0,0.002362391,0,0,0.066619419,0,0,0,0,0.061422159,0.045003544,0,0,0,0,0,0,0.030829199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009449563,0.007087172,0.016536735,11,1.740908537,0.72601525,0.03307347,0.087408457,0.366170565,0.217339948,0,0,0,0,0,0.028348689,0.03071108,0,0.03307347,0,0.066619419,0,0,0,0.106425703,0,0,0,0,0.030829199,0,0,0.67091897,0,0,0.03071108,0,0.03307347,0.030829199,0,0.173045122,0.29600756,,
ON3_79,ON,8-Dec-07,39426,712,u_rem,c_rem,u_rem.c_rem,0.073855244,0.145248646,0.155096012,0,0,0,0,0,0,0,0,0,0,0.024618415,0.068931561,0.002461841,0,0.004923683,0,0.002461841,0,0,0.022156573,0.014771049,0.145248646,0,0,0,0.022279665,0,0,0,0,0.019694732,0.024864599,0.110782866,0,0,0.002461841,0,0,0.066592811,0,0,0,0,0,0,0,0.007385524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078778927,0.007385524,17,2.274052639,0.802640805,0.086164451,0.073855244,0.145248646,0.155096012,0,0,0,0,0,0.024618415,0.078778927,0,0.182176268,0,0.022279665,0,0,0,0.155342196,0,0,0.002461841,0,0.066592811,0.007385524,0,0.374199902,0,0,0.078778927,0,0.182176268,0.073978336,0,0.180083703,0.539635647,,
ON4_71,ON,8-Dec-07,39426,712,u_con,c_rem,u_con.c_rem,0.020222447,0.062914279,0.143804067,0,0,0,0,0,0,0,0,0,0,0.330299966,0.029210201,0,0,0,0,0.008987754,0,0,0.020222447,0.076395911,0.026963263,0.029210201,0.002246939,0,0.020222447,0,0,0,0,0.177508145,0.047298056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004493877,0,0,13,2.009373278,0.783396862,0.004493877,0.020222447,0.062914279,0.143804067,0,0,0,0.002246939,0,0.330299966,0.038197955,0,0.152791821,0,0.020222447,0,0,0,0.224806202,0,0,0,0,0,0,0,0.226940793,0,0,0.038197955,0.002246939,0.152791821,0,0,0.245028648,0.76856533,,
ON4_72,ON,8-Dec-07,39426,712,u_con,c_rem,u_con.c_rem,0.086569379,0.084095968,0.249814494,0,0,0,0,0,0,0,0,0,0,0.019787287,0.131090774,0.000247341,0,0,0,0.002473411,0,0,0.017313876,0.037101163,0.054415038,0,0,0,0.064432352,0,0,0,0,0.101409844,0.02745486,0,0,0.002473411,0.002473411,0.004946822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002597081,0.111303488,0,15,2.064945628,0.762521177,0.113900569,0.086569379,0.084095968,0.249814494,0,0,0,0,0,0.019787287,0.133811526,0,0.108830077,0,0.064432352,0,0,0,0.128864704,0,0.002473411,0.002473411,0.004946822,0,0,0,0.420479842,0,0,0.133811526,0,0.108830077,0,0,0.2031907,0.465619589,,
ON4_73,ON,8-Dec-07,39426,712,u_con,c_con,u_con.c_con,0.040122728,0.061600189,0.163323106,0,0,0,0,0,0,0,0,0,0,0.080245457,0.184092518,0.063724333,0,0,0,0,0,0,0.004720321,0.033042247,0,0.007080481,0.00236016,0,0.016639131,0,0,0,0,0.110927543,0.012390843,0.028439934,0,0.00236016,0.00236016,0,0,0.000118008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236016,0,0,0,0.007080481,0.177012037,0,17,2.138473838,0.754787437,0.184092518,0.040122728,0.061600189,0.163323106,0,0,0,0.00236016,0,0.080245457,0.247816852,0,0.044843049,0,0.016639131,0,0,0,0.15175832,0,0.00236016,0.00236016,0,0.000118008,0,0.00236016,0.265046023,0,0,0.247816852,0.00236016,0.044843049,0.000118008,0,0.175477932,0.550861459,,
ON4_74,ON,8-Dec-07,39426,712,u_con,c_con,u_con.c_con,0.006889425,0.039154897,0.142840739,0,0,0,0,0,0,0,0,0,0,0.032150649,0.394993685,0.002296475,0,0,0,0,0,0,0.0091859,0.00459295,0.011482375,0.00459295,0.006889425,0,0.032265472,0,0,0,0,0.103571018,0.000114824,0,0,0.00459295,0.002296475,0,0.00459295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197496842,0,16,1.637106892,0.590461499,0.197496842,0.006889425,0.039154897,0.142840739,0,0,0,0.006889425,0,0.032150649,0.39729016,0,0.029854174,0,0.032265472,0,0,0,0.103685842,0,0.00459295,0.002296475,0.00459295,0,0,0,0.188885061,0,0,0.39729016,0.006889425,0.029854174,0,0,0.147433689,0.613618096,,
ON5_25,ON,8-Dec-07,39426,712,u_rem,c_con,u_rem.c_con,0,0.034242911,0.038523274,0,0,0,0,0,0,0,0,0,0,0.776886035,0.002140182,0,0,0.002140182,0,0,0,0,0,0,0,0,0.062065276,0,0.02835741,0,0,0,0,0.032102729,0,0,0,0.004280364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006420546,0.012841091,0,9,0.86837957,0.395216574,0.019261637,0,0.034242911,0.038523274,0,0,0,0.062065276,0,0.776886035,0.004280364,0,0,0,0.02835741,0,0,0,0.032102729,0,0.004280364,0,0,0,0,0,0.072766185,0,0,0.004280364,0.062065276,0,0,0,0.064740503,0.907972178,,
ON5_88,ON,8-Dec-07,39426,712,u_rem,c_rem,u_rem.c_rem,0,0.002235886,0.203465623,0,0,0,0,0,0,0,0,0,0,0.523197317,0.058133035,0.006707658,0,0,0,0,0,0,0.035774176,0.031302404,0,0,0,0,0.020458357,0,0,0,0,0.044829514,0.004583566,0,0,0.004471772,0,0,0,0.01117943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002235886,0,0,0,0,0,0,0.031302404,0.020122974,0,13,1.459578477,0.569047678,0.051425377,0,0.002235886,0.203465623,0,0,0,0,0,0.523197317,0.064840693,0,0.067076579,0,0.020458357,0,0,0,0.04941308,0,0.004471772,0,0,0.01117943,0,0.002235886,0.205701509,0,0,0.064840693,0,0.067076579,0.01117943,0,0.076579094,0.742873113,,
ON5_89,ON,8-Dec-07,39426,712,u_rem,c_con,u_rem.c_con,0.00904057,0.004633292,0.067804272,0,0,0,0,0,0,0,0,0,0,0.551474743,0.113007119,0.00904057,0,0,0,0,0,0,0.011300712,0,0,0,0.040682563,0,0.014012883,0,0,0,0,0.049723133,0.002599164,0,0,0,0,0,0,0.000113007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002260142,0,0,0,0,0.002260142,0.122047689,0,12,1.293158046,0.520405081,0.124307831,0.00904057,0.004633292,0.067804272,0,0,0,0.040682563,0,0.551474743,0.122047689,0,0.011300712,0,0.014012883,0,0,0,0.052322296,0,0,0,0,0.000113007,0,0.002260142,0.081478133,0,0,0.122047689,0.040682563,0.011300712,0.000113007,0,0.068595322,0.794214035,,
ON5_91,ON,8-Dec-07,39426,712,u_rem,c_rem,u_rem.c_rem,0.002216558,0.006649673,0.177324615,0,0,0,0,0,0,0,0,0,0,0.465477114,0.077579519,0.019949019,0,0,0,0.062063615,0,0,0.006649673,0.006649673,0,0,0.033248365,0,0.01573756,0,0,0,0,0.046547711,0.002327386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002216558,0,0,0,0,0,0,0,0,0,0,0,0.011082788,0.064280173,0,13,1.611053511,0.628103439,0.075362961,0.002216558,0.006649673,0.177324615,0,0,0,0.033248365,0,0.465477114,0.159592153,0,0.013299346,0,0.01573756,0,0,0,0.048875097,0,0,0,0,0,0,0.002216558,0.186190846,0,0,0.159592153,0.033248365,0.013299346,0,0,0.066829214,0.738446193,,
PG1_7,PG,10-Dec-07,39426,712,u_con,c_rem,u_con.c_rem,0,0.14953271,0.014018692,0,0.077102804,0.002336449,0.247663551,0,0,0.014018692,0,0,0,0.221962617,0,0,0,0,0,0.007009346,0,0,0,0,0.102803738,0,0.130841121,0,0.002336449,0,0,0,0,0.002336449,0,0,0,0,0.002336449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002336449,0,0,0,0,0,0,0,0,0,0,0,0,0.007009346,0.01635514,14,1.908167785,0.723049008,0.023364486,0,0.14953271,0.014018692,0.002336449,0.077102804,0.247663551,0.130841121,0.014018692,0.221962617,0.007009346,0,0.102803738,0,0.002336449,0,0,0,0.002336449,0,0,0.002336449,0,0,0,0.002336449,0.163551402,0.327102804,0.079439252,0.007009346,0.130841121,0.11682243,0,0,0.009345794,0.485981308,,
PG1_8,PG,10-Dec-07,39426,712,u_con,c_con,u_con.c_con,0.002178649,0.444444444,0.002178649,0,0,0.002178649,0.233115468,0,0.006535948,0.004357298,0,0,0,0.283224401,0,0,0,0.004357298,0,0,0,0,0,0,0,0,0.006535948,0,0.008714597,0,0,0,0,0,0,0,0,0,0.002178649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.25224455,0.522226539,0,0.002178649,0.444444444,0.002178649,0.002178649,0,0.233115468,0.006535948,0.010893246,0.283224401,0.004357298,0,0,0,0.008714597,0,0,0,0,0,0,0.002178649,0,0,0,0,0.448801743,0.235294118,0.002178649,0.004357298,0.006535948,0.010893246,0,0,0.010893246,0.315904139,,
PG1_96,PG,10-Dec-07,39426,712,u_con,c_rem,u_con.c_rem,0,0.318171633,0.015684517,0,0,0.004481291,0.022406453,0,0.002240645,0.018037195,0,0,0,0.201658078,0,0,0,0.017925162,0,0.008962581,0,0,0.004481291,0.015684517,0.309209052,0,0,0,0.00941071,0,0,0,0,0,0.000112032,0,0,0,0.006721936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044812906,0,15,1.621982925,0.598948618,0.044812906,0,0.318171633,0.015684517,0.004481291,0,0.022406453,0,0.02027784,0.201658078,0.026887744,0,0.32937486,0,0.00941071,0,0,0,0.000112032,0,0,0.006721936,0,0,0,0,0.333856151,0.026887744,0.004481291,0.026887744,0,0.3496527,0,0,0.016244678,0.5944432,,
PG1_97,PG,10-Dec-07,39426,712,u_con,c_con,u_con.c_con,0,0.010893246,0.010893246,0,0,0.004357298,0,0,0,0.071895425,0,0,0,0.433551198,0,0.013071895,0,0,0,0,0,0,0.002178649,0.006535948,0,0,0.411764706,0,0.013071895,0,0,0,0,0,0,0,0,0,0.004357298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017429194,0,11,1.226530502,0.511502948,0.017429194,0,0.010893246,0.010893246,0.004357298,0,0,0.411764706,0.071895425,0.433551198,0.013071895,0,0.008714597,0,0.013071895,0,0,0,0,0,0,0.004357298,0,0,0,0,0.021786492,0.004357298,0.004357298,0.013071895,0.411764706,0.080610022,0,0,0.017429194,0.956427015,,
PG2_10,PG,10-Dec-07,39426,712,u_rem,c_rem,u_rem.c_rem,0.006408887,0.01495407,0.237128819,0,0,0.017090365,0,0,0.012817774,0,0,0,0,0.446485794,0,0,0,0,0,0,0,0,0,0.002136296,0.209356975,0,0.034180731,0,0.004272591,0,0,0,0,0,0.00021363,0,0,0,0.010681478,0,0,0,0,0,0,0,0,0,0,0,0,0.002136296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002136296,12,1.435931485,0.57786134,0.002136296,0.006408887,0.01495407,0.237128819,0.017090365,0,0,0.034180731,0.012817774,0.446485794,0,0,0.211493271,0,0.004272591,0,0,0,0.00021363,0,0,0.010681478,0,0,0.002136296,0,0.258491775,0.017090365,0.017090365,0,0.034180731,0.224311045,0.002136296,0,0.015167699,0.722281564,,
PG2_27,PG,10-Dec-07,39426,712,u_rem,c_con,u_rem.c_con,0.004380681,0.070090899,0.070090899,0,0,0.008761362,0,0,0.013142044,0,0,0,0,0.378928923,0,0,0,0,0.024203264,0,0.000438068,0.002190341,0.002190341,0,0.378928923,0,0.002190341,0,0.004380681,0,0,0,0,0.002737926,0.002190341,0,0,0,0.000109517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002190341,0,0,0,0,0,0,0,0,0,0,0,0.030664768,0.002190341,16,1.424433925,0.51375594,0.032855109,0.004380681,0.070090899,0.070090899,0.008761362,0,0,0.002190341,0.013142044,0.378928923,0.024641332,0.002190341,0.381119264,0,0.004380681,0,0,0,0.004928266,0,0,0.000109517,0,0,0,0.002190341,0.144562479,0.008761362,0.008761362,0.026831672,0.002190341,0.394261308,0,0,0.011608805,0.813821049,,
PG2_98,PG,10-Dec-07,39426,712,u_rem,c_rem,u_rem.c_rem,0.006890216,0.048690859,0.40192926,0,0,0,0.004593477,0,0,0,0,0,0,0.379076711,0,0,0,0,0,0,0,0,0,0.01159853,0.112540193,0,0.004593477,0,0.004593477,0,0,0.004708314,0,0,0.000114837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002296739,0,0,0,0,0,0,0,0,0,0,0,0.018373909,0,11,1.301085333,0.542594728,0.018373909,0.006890216,0.048690859,0.40192926,0,0,0.004593477,0.004593477,0,0.379076711,0,0,0.124138723,0,0.004593477,0,0,0.004708314,0.000114837,0,0,0,0,0,0,0.002296739,0.457510335,0.004593477,0,0,0.004593477,0.124138723,0,0.004708314,0.007005053,0.519522278,,
PG2_99,PG,10-Dec-07,39426,712,u_rem,c_con,u_rem.c_con,0.008797976,0.090289233,0.026393929,0,0,0.026393929,0,0,0.026503904,0,0,0,0,0.527878588,0,0,0,0,0.006598482,0,0.000549874,0,0.002309469,0.000109975,0.268338282,0,0,0,0.011107445,0,0,0,0,0.002199494,0.000329924,0,0,0,0.002199494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.33023806,0.504058038,0,0.008797976,0.090289233,0.026393929,0.026393929,0,0,0,0.026503904,0.527878588,0.007148356,0,0.270757726,0,0.011107445,0,0,0,0.002529418,0,0,0.002199494,0,0,0,0,0.125481139,0.026393929,0.026393929,0.007148356,0,0.29726163,0,0,0.015836358,0.848124931,,
