"","quadrat","transect","site","year","era","real.date","comm.date","urch","chit","treat","removals","bare_rock","encrusting_coralline_algae","encrusting_non_calcified_algae","red_foliose_algae","Opuntiella_californica","red_filamentous_algae","Agarum_fimbriatum","brown_foliose_algae","Diapoeroecia_californica","Crisia_spp","Heteropora_pacifica","Phidolopora_pacifica","bryozoan_erect","Haliclona_spp1","Antho_lambei","Haliclona_spp2","sponge_other","Sycon_spp","Schizoporella_japonica","bryozoan_encrusting","Eurystomella_bilabiata","Dendrobeania_lichenoides","hydroid_other","Epizoanthus_scotinus","Balanophyllia_elegans","Metridium_spp","Gersemia_rubiformis","Dodecaceria_concharum","Dodecaceria_fewkesii","tube_calcareous","Pseudochitinopoma_occidentalis","Vermetus_compactus","Balanus_crenatus","Psolus_chitinoides","Terebratalia_transversa","Chlamys_hastata","Pododesmus_macrochisma","Metandrocarpa_taylori","Pycnoclavella_stanleyi","Perophora_annectans","Clavelina_huntsmani","Didemnum_carnulentum","Distaplia_occidentalis","Aplidium_solidum","tunicate_clonal_other","Boltenia_villosa","Chelyosoma_spp","Corella_spp","Cnemidocarpa_finmarkiensis","Halocynthia_igaboja","Styela_spp","Ascida_paratropa","tunicate_solitary_other","invert_other","other","hydro_bryo_complex","fuzz","shell_debris","rubble"
"16","D1","D1","SC",1969,"Birkeland","8/31/69","8/31/69",NA,NA,NA,NA,0,0.192743764,0.243764172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005668934,0,0,0,0,0.028628118,0.006802721,0,0,0,0,0,0,0,0.028344671,0.005668934,0,0,0.142573696,0,0,0,0.260770975,0,0.034013605,0,0.017006803,0,0,0.011337868,0,0,0,0,0,0,0,0.022675737,0,0
"17","A1","A1","SC",1969,"Birkeland","10/26/69","10/26/69",NA,NA,NA,NA,0.231724527,0.056731583,0.068021451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050804403,0,0,0,0.084674005,0,0,0,0,0,0.016934801,0,0,0.005644934,0,0.016934801,0,0,0.462884561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005644934,0,0
"18","B1","B1","SC",1969,"Birkeland","10/26/69","10/26/69",NA,NA,NA,NA,0.031989763,0,0.223928343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063979527,0.070377479,0,0,0.006397953,0.083493282,0,0,0,0,0,0.000319898,0,0.000319898,0.153550864,0.038707614,0.012795905,0,0.230966091,0,0,0,0.038387716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044785669,0,0
"19","C1","C1","SC",1969,"Birkeland","10/26/69","10/26/69",NA,NA,NA,NA,0.179844961,0.03751938,0.434108527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018604651,0,0,0,0,0,0,0,0,0,0,0.012403101,0,0.130232558,0.00620155,0.012403101,0,0,0.075658915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093023256,0
"20","D1","D1","SC",1969,"Birkeland","10/26/69","10/26/69",NA,NA,NA,NA,0.069907849,0.133460439,0.101684144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031776295,0,0,0,0,0.025738799,0.019701303,0,0,0,0,0.000317763,0,0,0.038131554,0.012710518,0,0,0.128058468,0,0,0,0.336828726,0,0.050842072,0,0,0,0,0.012710518,0,0,0,0.006355259,0,0,0,0.025421036,0.006355259,0
"21","A1","A1","SC",1970,"Birkeland","1/17/70","1/17/70",NA,NA,NA,NA,0.329242742,0.072134092,0.113738402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041903622,0,0,0,0.119724633,0,0,0,0,0,0.005986232,0,0,0,0,0.029931158,0,0,0.263394193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023944927,0,0
"22","B1","B1","SC",1970,"Birkeland","1/17/70","1/17/70",NA,NA,NA,NA,0.06103764,0,0.271278399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04747372,0.04069176,0,0,0.007121058,0.088504578,0,0,0,0,0,0.001017294,0,0,0.190233978,0.04747372,0,0,0.082400814,0,0,0,0.07460156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08816548,0,0
"23","C1","C1","SC",1970,"Birkeland","1/17/70","1/17/70",NA,NA,NA,NA,0.104895105,0.076048951,0.594405594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006410256,0,0.018356643,0.005827506,0.017482517,0,0,0.071386946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10518648,0
"24","D1","D1","SC",1970,"Birkeland","1/17/70","1/17/70",NA,NA,NA,NA,0.013046314,0.195694716,0.150032616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019569472,0,0,0,0,0.03359426,0.026744945,0,0,0,0,0,0,0,0.084801044,0.013046314,0,0,0.032941944,0,0,0,0.234833659,0,0.0456621,0,0.006523157,0,0,0.013046314,0,0,0,0.006523157,0,0,0,0.123939987,0,0
"25","A1","A1","SC",1970,"Birkeland","4/19/70","4/19/70",NA,NA,NA,NA,0.415344678,0.126910874,0.155754254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011537352,0,0,0,0.126910874,0,0,0,0,0,0.005768676,0,0,0,0,0.034612057,0,0,0.07124315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051918085,0,0
"26","B1","B1","SC",1970,"Birkeland","4/19/70","4/19/70",NA,NA,NA,NA,0.091827365,0.012243649,0.336700337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018365473,0.048974594,0,0,0.018365473,0.073461892,0,0,0,0,0,0.00765228,0,0,0.177532905,0.036730946,0,0,0.043464953,0,0,0,0.048974594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079583716,0.006121824,0
"27","C1","C1","SC",1970,"Birkeland","4/19/70","4/19/70",NA,NA,NA,NA,0.059701493,0.095820896,0.668656716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005970149,0,0,0,0,0,0,0,0,0,0,0.013134328,0,0.006268657,0.005970149,0.023880597,0,0,0.077910448,0.000298507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04238806,0
"28","D1","D1","SC",1970,"Birkeland","4/19/70","4/19/70",NA,NA,NA,NA,0.017714792,0.253912017,0.159433127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023619722,0,0,0,0,0.047239445,0.006200177,0,0,0,0.011809861,0.000590493,0,0,0.09447889,0.005904931,0,0,0.042220254,0,0,0,0.18895778,0,0.03572483,0,0.005904931,0,0,0.005904931,0,0,0,0.005904931,0,0,0,0.09447889,0,0
"29","A1","A1","SC",1970,"Birkeland","7/15/70","7/15/70",NA,NA,NA,NA,0.06574622,0.138067061,0.433925049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013149244,0.124917817,0,0,0,0.151216305,0,0,0,0,0,0,0,0,0,0,0.03287311,0,0,0.033530572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006574622,0,0
"30","C1","C1","SC",1970,"Birkeland","7/15/70","7/15/70",NA,NA,NA,NA,0.010732493,0.14488865,0.783471961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005366246,0,0,0,0,0.006171183,0,0,0.016098739,0.021464985,0,0,0.006439496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005366246,0
"31","D1","D1","SC",1970,"Birkeland","7/15/70","7/15/70",NA,NA,NA,NA,0.005938242,0.231591449,0.20783848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011876485,0,0,0,0,0.012767221,0.006235154,0,0,0,0.005938242,0.000890736,0,0,0.095011876,0,0,0,0.065320665,0,0,0,0.225653207,0,0.035926366,0,0.023752969,0,0,0.011876485,0,0,0,0.005938242,0,0,0,0.053444181,0,0
"32","A1","A1","SC",1972,"Birkeland","1/6/72","1/6/72",NA,NA,NA,NA,0.264150943,0.169811321,0.257861635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13836478,0,0,0,0,0,0,0.018867925,0,0,0,0.025157233,0,0,0.056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06918239,0,0
"33","B1","B1","SC",1972,"Birkeland","1/6/72","1/6/72",NA,NA,NA,NA,0.025109856,0.012554928,0.345260515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043942247,0.087884495,0,0,0.006277464,0.094475832,0,0,0,0,0,0.000313873,0,0,0.194601381,0.03138732,0,0,0.013810421,0,0,0,0.087884495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056497175,0,0
"34","C1","C1","SC",1972,"Birkeland","1/6/72","1/6/72",NA,NA,NA,NA,0.050195204,0.083937535,0.69157836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050474066,0,0,0,0.005577245,0,0.005577245,0,0,0,0,0,0,0,0,0.016731735,0,0,0.062465142,0,0,0,0,0,0.022308979,0,0,0,0,0,0,0,0,0,0,0.005577245,0,0,0.005577245,0
"35","D1","D1","SC",1972,"Birkeland","1/6/72","1/6/72",NA,NA,NA,NA,0.100536193,0.321715818,0.160857909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020107239,0,0,0,0,0.027479893,0.006702413,0,0,0,0,0,0,0,0.107238606,0,0.013404826,0,0.014075067,0,0,0,0.147453083,0,0.033512064,0,0,0,0,0,0,0,0,0,0,0,0,0.04691689,0,0
"36","A1","A1","SC",1973,"Birkeland","12/27/73","12/27/73",NA,NA,NA,NA,0.155172414,0.281609195,0.281609195,0.005747126,0,0.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028735632,0,0,0,0.120689655,0,0,0,0,0,0,0.011494253,0,0,0,0.040229885,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","B1","B1","SC",1973,"Birkeland","12/27/73","12/27/73",NA,NA,NA,NA,0.123239437,0.017605634,0.404929577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029342723,0,0,0.005868545,0.093896714,0,0,0,0,0,0.008215962,0,0.005868545,0.164319249,0.023474178,0,0,0.088028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023474178,0.011737089,0
"38","C1","C1","SC",1973,"Birkeland","12/27/73","12/27/73",NA,NA,NA,NA,0.041808205,0.193362947,0.637575124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026130128,0,0,0,0,0,0,0,0,0,0,0.011235955,0,0,0,0,0,0,0.074209564,0,0,0,0,0,0.015678077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","D1","D1","SC",1973,"Birkeland","12/27/73","12/27/73",NA,NA,NA,NA,0.23364486,0.175233645,0.122663551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011682243,0.011682243,0,0,0.005841121,0.012558411,0.017815421,0,0,0,0,0.011682243,0,0,0.105140187,0,0,0,0.052570093,0,0,0,0.239485981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","A1","A1","SC",1974,"Birkeland","7/5/74","7/5/74",NA,NA,NA,NA,0.062383032,0.162195883,0.43044292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093574548,0,0,0,0.106051154,0,0,0,0,0,0.024953213,0.006862133,0,0,0,0.012476606,0,0,0.026200873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074859638,0,0
"41","C1","C1","SC",1974,"Birkeland","7/5/74","7/5/74",NA,NA,NA,NA,0,0.253097812,0.643290272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005272871,0,0,0,0,0,0,0,0,0,0,0.001581861,0,0,0,0,0,0,0.075402056,0.005536515,0,0,0,0,0.015818613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","SC1_54","SC1","SC",2007,"Modern.R","12/10/07","12/10/07","u_rem","c_rem","u_rem.c_rem","no",0.01572857,0.265138748,0.071902033,0.002246939,0,0.022469385,0,0,0.013481631,0,0,0,0,0,0,0,0,0,0.004493877,0,0,0.011234693,0,0,0.020334794,0,0,0.006740816,0,0,0.002246939,0,0,0,0.004493877,0,0,0.357263229,0.119087743,0,0,0.033704078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042691832,0.006740816,0,0
"43","SC1_62","SC1","SC",2007,"Modern.R","12/10/07","12/10/07","u_rem","c_con","u_rem.c_con","no",0.018015989,0.297263822,0.042787974,0.002251999,0,0.063055962,0.038283977,0.004503997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006868596,0,0,0.013511992,0,0,0,0,0,0,0.006755996,0,0,0.310775814,0.123859926,0,0,0.004503997,0,0,0.004503997,0,0,0.002251999,0,0,0,0,0,0,0,0.031527981,0.029275982,0,0
"44","SC1_63","SC1","SC",2007,"Modern.R","12/10/07","12/10/07","u_rem","c_rem","u_rem.c_rem","no",0.013127667,0.148780221,0.15315611,0,0,0.021879444,0,0,0.002187944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013127667,0,0,0,0,0,0.000109397,0,0,0,0.010939722,0,0,0.312876053,0.041570944,0,0,0.150968165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109397221,0.021879444,0,0
"45","SC1_64","SC1","SC",2007,"Modern.R","12/10/07","12/10/07","u_rem","c_con","u_rem.c_con","no",0.022075055,0.42384106,0.037527594,0.002207506,0,0.030905077,0,0,0.013245033,0,0,0,0,0,0,0.002207506,0,0,0,0,0,0,0,0,0.004415011,0,0,0.039735099,0,0.006622517,0,0,0,0,0,0,0,0.013245033,0,0,0,0.013245033,0,0,0.002207506,0,0,0,0,0,0,0,0,0,0,0.315673289,0.057395143,0,0.015452539
"46","SC4_36","SC4","SC",2007,"Modern.R","12/10/07","12/10/07","u_con","c_con","u_con.c_con","no",0,0.036027922,0.024769196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002251745,0,0,0,0.186894844,0,0.011258726,0,0,0,0,0.006755235,0,0,0,0,0,0,0,0.324251295,0.006755235,0,0,0.164602567,0,0,0,0.002251745,0,0,0,0,0,0,0,0,0,0.234181491,0,0,0
"47","SC4_45","SC4","SC",2007,"Modern.R","12/10/07","12/10/07","u_con","c_rem","u_con.c_rem","no",0.00761035,0.035641806,0.129375951,0,0,0,0,0,0,0,0,0,0,0,0.02283105,0,0.093860985,0,0.002536783,0.020294267,0.002536783,0,0.012810756,0.053272451,0.00761035,0,0,0,0,0.005073567,0,0.002536783,0.000126839,0,0,0,0,0.271435819,0.010147133,0,0,0.053272451,0,0,0,0.00761035,0.002536783,0,0,0,0,0,0,0,0,0.197869102,0.06100964,0,0
"48","SC4_51","SC4","SC",2007,"Modern.R","12/10/07","12/10/07","u_con","c_rem","u_con.c_rem","no",0,0.012013455,0.09370495,0,0,0,0,0,0,0,0,0,0,0,0.004805382,0.002402691,0.040845747,0,0,0.012013455,0,0,0.122897645,0.043248438,0,0,0,0,0,0.002402691,0,0.002402691,0,0,0,0,0,0.394161461,0.021624219,0,0,0.09370495,0,0,0,0.004805382,0,0,0,0,0,0,0,0,0,0.112926478,0.036040365,0,0
"49","SC4_52","SC4","SC",2007,"Modern.R","12/10/07","12/10/07","u_con","c_con","u_con.c_con","no",0,0.008634647,0.058283864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073502428,0,0,0.004317323,0,0,0.097139773,0.034646519,0,0,0,0,0,0.004317323,0.004317323,0,0,0,0.002158662,0,0,0.308688613,0.05429034,0,0,0.142471668,0,0,0.028062601,0,0,0,0,0,0,0,0,0,0,0.177010254,0.002158662,0,0
"50","SC5_34","SC5","SC",2007,"Modern.R","12/10/07","12/10/07","u_con","c_con","u_con.c_con","no",0,0.036334734,0.245259453,0.002270921,0,0.020438288,0,0,0,0,0,0,0,0.004541842,0,0,0.029521971,0.004541842,0.011354604,0,0,0,0.063585784,0,0.006926309,0,0,0,0,0,0.000227092,0,0,0,0.004655388,0,0,0.399682071,0.009310776,0,0,0.034177359,0,0,0.004541842,0,0,0,0,0,0,0,0,0,0,0.061314863,0.059043942,0,0.002270921
"51","SC5_47","SC5","SC",2007,"Modern.R","12/10/07","12/10/07","u_con","c_rem","u_con.c_rem","no",0.002329916,0.123485555,0.109506058,0,0,0.018639329,0.107176142,0.002329916,0.002329916,0,0,0,0,0,0,0,0.002329916,0,0,0,0,0,0.013979497,0,0.00722274,0,0,0,0,0.004659832,0,0,0,0,0.006989748,0,0,0.23776794,0.007106244,0,0,0.139794967,0,0,0.006989748,0.004659832,0.006989748,0,0,0,0,0,0,0,0,0.135135135,0.060577819,0,0
"52","SC5_49","SC5","SC",2007,"Modern.R","12/10/07","12/10/07","u_con","c_con","u_con.c_con","no",0,0.016203704,0.138888889,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0.002314815,0.002314815,0,0,0.002314815,0,0.016203704,0,0,0,0,0,0,0,0,0,0,0,0,0.423611111,0.002314815,0,0,0.185185185,0,0,0,0.002314815,0,0,0,0,0,0,0,0,0,0.164351852,0.025462963,0,0
"53","SC5_50","SC5","SC",2007,"Modern.R","12/10/07","12/10/07","u_con","c_rem","u_con.c_rem","no",0,0.041374555,0.1517067,0,0,0.018388691,0.057464659,0,0.002298586,0,0,0,0,0.002298586,0,0,0.011492932,0,0,0.002298586,0,0,0.011492932,0,0.018388691,0,0,0,0,0.006895759,0,0,0,0,0.004597173,0,0,0.399954028,0.006895759,0,0,0.144925871,0,0,0.006895758,0.004597173,0,0,0,0,0,0,0,0,0,0.1011378,0.006895759,0,0
"54","SC6_14","SC6","SC",2007,"Modern.R","12/10/07","12/10/07","u_rem","c_con","u_rem.c_con","no",0.004329004,0.060606061,0.467532468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017316017,0.002164502,0,0,0,0,0,0,0,0,0,0,0.002164502,0,0,0.002164502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002164502,0,0,0,0,0,0,0.235930736,0.205627706,0,0
"55","SC6_18","SC6","SC",2007,"Modern.R","12/10/07","12/10/07","u_rem","c_rem","u_rem.c_rem","no",0.002271437,0.109028961,0.270300965,0,0,0.002271437,0,0,0.002271437,0,0,0,0,0,0,0,0.036342987,0,0.052243044,0.031800114,0.113571834,0,0,0,0.004542873,0,0,0,0,0.002271437,0.002839296,0,0,0.002271437,0.002271437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231686542,0.131743328,0,0.002271437
"56","SC6_21","SC6","SC",2007,"Modern.R","12/10/07","12/10/07","u_rem","c_rem","u_rem.c_rem","no",0.011018983,0.052367445,0.469234126,0,0,0,0,0,0.013091861,0,0,0,0,0,0,0,0.006545931,0,0.048003491,0.026183722,0.196377918,0,0,0,0.017564914,0,0,0,0,0.015273838,0.000327297,0,0,0.008727907,0.002181977,0.002181977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004363954,0,0,0,0,0,0.058913376,0.067641283,0,0
"57","SC6_33","SC6","SC",2007,"Modern.R","12/10/07","12/10/07","u_rem","c_con","u_rem.c_con","no",0,0.087875549,0.15200095,0,0,0,0.228001425,0,0.007125045,0,0,0,0,0,0,0,0,0,0,0,0.00475003,0,0,0,0.002375015,0,0,0,0,0.00475003,0.000118751,0,0,0,0,0,0,0,0,0,0,0.002375015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439377746,0.071250445,0,0
