"","id","site","transect","code","length","comment","sppR.comp","real.date","comm.date","season","surveyor","urch","removals"
"26",26,"ON","ON3","SFR",4,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"27",27,"ON","ON3","SFR",5,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"28",28,"ON","ON3","SFR",10,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"29",29,"ON","ON3","SFR",8,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"30",30,"ON","ON3","SFR",4,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"31",31,"ON","ON3","SFR",5,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"32",32,"ON","ON3","SFR",7,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"33",33,"ON","ON3","SFR",15,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"34",34,"ON","ON3","SFR",16,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"35",35,"ON","ON3","SFR",13,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"36",36,"ON","ON3","SFR",12,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"37",37,"ON","ON3","SFR",4,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"38",38,"ON","ON3","SFR",10,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"39",39,"ON","ON3","SFR",5,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"40",40,"ON","ON3","SFR",10,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"41",41,"ON","ON3","SAC",4,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"42",42,"ON","ON4","SFR",13,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"43",43,"ON","ON4","PCA",36,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"44",44,"ON","ON4","PCA",37,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"45",45,"ON","ON4","PCA",38,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"46",46,"ON","ON4","PHE",50,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"47",47,"ON","ON5","SFR",11,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"48",48,"ON","ON5","SFR",11,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"49",49,"ON","ON5","SFR",12,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"50",50,"ON","ON5","SFR",11,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"51",51,"ON","ON5","PCA",38,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"52",52,"ON","ON5","PCA",31,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"53",53,"ON","ON5","PCA",32,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"54",54,"ON","ON5","CFO",8,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"55",55,"PG","PG1","SAC",5,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"56",56,"PG","PG1","PHE",48,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"57",57,"PG","PG1","OGR",4,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"58",58,"PG","PG1","Hen",12,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"59",59,"PG","PG2","SFR",14,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"60",60,"PG","PG2","SFR",14,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"61",61,"PG","PG2","TCAn",4,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"62",62,"PG","PG2","SAC",3,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"63",63,"PG","PG3","PCA",20,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"64",64,"PG","PG3","TCAn",11,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"65",65,"PG","PG3","Chl",6,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"66",66,"PG","PG3","SAC",3,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"67",67,"PG","PG4","SFR",13,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"68",68,"PG","PG4","SFR",10,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"69",69,"PG","PG4","SFR",16,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"70",70,"PG","PG4","SAC",5,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"71",71,"PG","PG4","SAC",3,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"72",72,"PG","PG4","OKO",44,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"73",73,"PG","PG4","ANA",3,"a. nanaimoensis",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"74",74,"PG","PG5","Chl",5,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"75",75,"PG","PG5","SFR",13,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"76",76,"PG","PG5","SFR",14,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"77",77,"PG","PG5","SFR",14,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"78",78,"PG","PG5","SFR",15,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"79",79,"PG","PG5","SFR",15,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"80",80,"PG","PG5","Hen",8,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"81",81,"PG","PG5","Hen",6,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"82",82,"PG","PG5","AHA",5,"artedius",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"83",83,"PG","PG5","SAC",2,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"84",84,"PG","PG5","SAC",4,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"85",85,"PG","PG5","SAC",3,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"86",86,"PG","PG5","SST",32,"solaster blue and orange",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"87",87,"PG","PG5","PHE",59,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"88",88,"PG","PG5","ANA",4,"nudi nanaimoensis",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"89",89,"PG","PG5","ANA",4,"nudi nanaimoensis",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"90",90,"PG","PG6","SFR",14,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"91",91,"PG","PG6","SFR",15,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"92",92,"PG","PG6","TCAn",8,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"93",93,"PG","PG6","TCAn",7,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"94",94,"PG","PG6","Chl",8,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"95",95,"PG","PG6","hermit",9,"pagurus kennerlyi",1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"96",96,"SC","SC1","SFR",16,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"97",97,"SC","SC1","perch",25,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"98",98,"SC","SC1","JZO",8,"jordania zonope",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"99",99,"SC","SC4","Hen",11,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"100",100,"SC","SC4","Hen",16,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"101",101,"SC","SC5","PCA",31,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"102",102,"SC","SC5","PCA",32,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"103",103,"SC","SC6","SFR",16,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"104",104,"SC","SC6","SME",19,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"105",105,"SC","SC6","SEM",15,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"106",106,"SC","SC6","TCAn",6,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"107",107,"SC","SC6","Hen",6,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"108",108,"SC","SC6","Hen",13,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"109",109,"SC","SC6","JZO",10,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"110",110,"SC","SC6","OEL",100,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"111",111,"SC","SC6","AHU",5,"yellow margin dorid",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"112",112,"SC","SC6","AHU",3,"yellow margin dorid",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"113",113,"SC","SC6","AHU",3,"yellow margin dorid",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"114",114,"SC","SC6","AHU",3,"yellow margin dorid",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"115",115,"SC","SC6","AHU",3,"yellow margin dorid",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"116",116,"SC","SC6","AHU",2,"yellow margin dorid",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"117",117,"SC","SC6","AHU",4,"yellow margin dorid",1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"118",118,"SC","SC7","Hen",13,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"119",119,"SC","SC7","Hen",13,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"120",120,"SC","SC7","Hen",12,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"121",121,"SC","SC7","JZO",8,NA,1,2007-12-10,2007-12-10,"winter","KT","u_con","no"
"122",122,"SC","SC8","DAL",8,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"123",123,"SC","SC8","Hen",12,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"124",124,"SC","SC8","PHE",44,NA,1,2007-12-10,2007-12-10,"winter","KT","u_rem","no"
"125",125,"ON","ON0","PCA",27,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"126",126,"ON","ON0","PCA",28,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"127",127,"ON","ON0","TCAn",4,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"128",128,"ON","ON1","Hen",9,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"129",129,"ON","ON1","Nuc",3,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"130",130,"ON","ON1","Nuc",3.5,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"131",131,"ON","ON1","TCAn",7,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"132",132,"ON","ON1","CFO",10,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"133",133,"ON","ON1","dorid",2,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"134",134,"ON","ON2","SFR",14,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"135",135,"ON","ON2","SFR",9.5,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"136",136,"ON","ON2","SFR",8,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"137",137,"ON","ON2","SFR",10,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"138",138,"ON","ON2","Nuc",4,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"139",139,"ON","ON2","Nuc",4.5,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"140",140,"ON","ON2","Hen",8,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"141",141,"ON","ON2","SST",22,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"142",142,"ON","ON2","TCAn",5,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"143",143,"ON","ON3","Hen",8,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"144",144,"ON","ON3","dorid",3,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"145",145,"ON","ON3","CFO",6,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"146",146,"ON","ON3","CFO",5,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"147",147,"ON","ON4","PCA",25,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"148",148,"ON","ON4","FOR",12,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"149",149,"ON","ON4","Hen",8,NA,1,2008-03-29,2008-03-27,"spring","KM","u_con","no"
"150",150,"ON","ON5","dorid",6,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"151",151,"ON","ON5","PCA",30,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"152",152,"ON","ON5","DIM",42,NA,1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"153",153,"ON","ON5","OKO",62,"or leptasterias?",1,2008-03-29,2008-03-27,"spring","KM","u_rem","no"
"154",154,"PG","PG1","Hen",11,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"155",155,"PG","PG1","Hen",12,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"156",156,"PG","PG1","Hen",11,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"157",157,"PG","PG1","Hen",10,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"158",158,"PG","PG1","Hen",12,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"159",159,"PG","PG1","Hen",10,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"160",160,"PG","PG1","Hen",11,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"161",161,"PG","PG1","Hen",14,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"162",162,"PG","PG1","Hen",12,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"163",163,"PG","PG1","TCAn",13,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"164",164,"PG","PG1","TCAn",16,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"165",165,"PG","PG1","JZO",7,"Jordania zonope (longfin sculpin)",1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"166",166,"PG","PG1","SAC",4,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"167",167,"PG","PG1","SAC",4,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"168",168,"PG","PG2","TCAn",10,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"169",169,"PG","PG2","SAC",3,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"170",170,"PG","PG2","Hen",11,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"171",171,"PG","PG3","TCAn",9,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"172",172,"PG","PG3","TCAn",11,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"173",173,"PG","PG3","TCAn",9,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"174",174,"PG","PG3","TCAn",6,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"175",175,"PG","PG3","Seb",2,"juv rockfish (sebastes)",1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"176",176,"PG","PG3","Hen",8,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"177",177,"PG","PG3","Hen",9,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"178",178,"PG","PG3","Hen",11,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"179",179,"PG","PG3","Hen",8,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"180",180,"PG","PG3","PCA",28,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"181",181,"PG","PG3","SAC",4,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"182",182,"PG","PG3","SAC",3,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"183",183,"PG","PG3","SAC",5,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"184",184,"PG","PG3","SAC",3,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"185",185,"PG","PG3","SAC",3,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"186",186,"PG","PG3","sculpin",8,"sculpin",1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"187",187,"PG","PG4","SAC",3,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"188",188,"PG","PG4","SAC",5,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"189",189,"PG","PG4","Hen",13,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"190",190,"PG","PG4","Hen",10,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"191",191,"PG","PG4","SCR",2,"17 total; juvenile coppers",1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"192",192,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"193",193,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"194",194,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"195",195,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"196",196,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"197",197,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"198",198,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"199",199,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"200",200,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"201",201,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"202",202,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"203",203,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"204",204,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"205",205,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"206",206,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"207",207,"PG","PG4","SCR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"208",208,"PG","PG5","SFR",8,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"209",209,"PG","PG5","SFR",16,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"210",210,"PG","PG5","SFR",14,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"211",211,"PG","PG5","SFR",14,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"212",212,"PG","PG5","SFR",14,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"213",213,"PG","PG5","SFR",13,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"214",214,"PG","PG5","SFR",13,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"215",215,"PG","PG5","OGR",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"216",216,"PG","PG5","OGR",3,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"217",217,"PG","PG5","Hen",11,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"218",218,"PG","PG5","Hen",9,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"219",219,"PG","PG5","Hen",12,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"220",220,"PG","PG5","SAC",3,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"221",221,"PG","PG5","sculpin",5,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"222",222,"PG","PG5","sculpin",10,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"223",223,"PG","PG5","PHE",70,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"224",224,"PG","PG5","PHE",44,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"225",225,"PG","PG6","SFR",14,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"226",226,"PG","PG6","SAC",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"227",227,"PG","PG6","SAC",2,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"228",228,"PG","PG6","Hen",9,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"229",229,"PG","PG6","Hen",11,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"230",230,"PG","PG6","TCAn",7,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"231",231,"PG","PG6","Chl",6,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"232",232,"SC","SC1","SFR",14,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"233",233,"SC","SC1","TCAn",8,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"234",234,"SC","SC1","sculpin",4,"sculpin",1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"235",235,"SC","SC4","Hen",13,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"236",236,"SC","SC4","Hen",10,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"237",237,"SC","SC5","PCA",29,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"238",238,"SC","SC5","lithode",0.01,"Lithode crab (probably heart crab)",1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"239",239,"SC","SC6","Aca",4,"Acanthodoris",1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"240",240,"SC","SC6","CFO",6,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"241",241,"SC","SC6","CCU",4,"Cranopsis cucullata",1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"242",242,"SC","SC6","COR",4,"Cancer oregonsis",1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"243",243,"SC","SC6","SAC",3,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"244",244,"SC","SC6","SEM",12,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"245",245,"SC","SC6","RWO",5,"Rhinolithodes wosnessenskii",1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"246",246,"SC","SC6","RWO",4,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"247",247,"SC","SC7","Hen",8,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"248",248,"SC","SC7","hermit",8,"Hermit crab",1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"249",249,"SC","SC7","JFU",3,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"250",250,"SC","SC7","CFO",5,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"251",251,"SC","SC7","PCA",28,NA,1,2008-03-27,2008-03-27,"spring","KT","u_con","no"
"252",252,"SC","SC8","Hen",13,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"253",253,"SC","SC8","Hen",14,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"254",254,"SC","SC8","Hen",15,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"255",255,"SC","SC8","Hen",10,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"256",256,"SC","SC8","Hen",11,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"257",257,"SC","SC8","Hen",11,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"258",258,"SC","SC8","CFO",6,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
"259",259,"SC","SC8","CFO",7,NA,1,2008-03-27,2008-03-27,"spring","KT","u_rem","no"
