date,date1,Willow,Frost,Humphrey,Rosario,Turn,PG,ON,SC,wi.sd,fi.sd,hh.sd,rw.sd,ti.sd,pg.sd,on.sd,sc.sd,wi.se,fi.se,hh.se,rw.se,ti.se,pg.se,on.se,sc.se,Hoodsport
8/19/12,41140,11.60270833,11.35360417,11.6495625,11.69375,10.61020833,10.8305,11.24908333,10.64389583,0.232532218,0.220578614,0.389870295,0.195367902,0.241726851,0.37737943,0.320122838,0.260016549,0.033563135,0.031837781,0.05627293,0.028198928,0.034890266,0.054470029,0.046205752,0.037530156,9.449639467
8/20/12,41141,11.440625,11.19247917,11.4719375,11.30666667,10.435,10.496125,10.6496875,10.48752083,0.19405424,0.204887202,0.364285743,0.13815399,0.139283883,0.242816245,0.167565314,0.156341959,0.028009317,0.02957292,0.052580118,0.019940811,0.020103897,0.035047506,0.02418597,0.022566018,10.01789933
8/21/12,41142,11.286875,11.02645833,11.3013125,11.16770833,10.2925,10.28452083,10.42083333,10.3615625,0.24464613,0.142693983,0.322605889,0.103435448,0.081279659,0.120787133,0.104512512,0.141474892,0.035311627,0.020596102,0.046564149,0.014929621,0.011731708,0.017434121,0.015085082,0.020420142,9.681276025
8/22/12,41143,11.07270833,10.90960417,11.05533333,10.96229167,10.266875,10.28808333,10.34895833,10.28916667,0.284460965,0.158443726,0.21850764,0.103435448,0.072498166,0.135450522,0.110225293,0.091300843,0.041058404,0.022869382,0.031538861,0.014929621,0.010464209,0.019550599,0.015909651,0.013178142,9.725284083
8/23/12,41144,11.03229167,10.78202083,10.9715625,10.91395833,10.25520833,10.31458333,10.4095,10.276875,0.212755374,0.107599235,0.263582028,0.041857895,0.099295167,0.148768109,0.164118795,0.110896468,0.030708593,0.015530612,0.038044789,0.006041667,0.014332023,0.021472827,0.023688508,0.016006526,9.532015275
8/24/12,41145,10.89166667,10.70925,10.96641667,10.829375,10.33020833,10.414125,10.63610417,10.401375,0.14608848,0.074204003,0.235889068,0.135841056,0.196376642,0.233746783,0.314053542,0.178948896,0.021086056,0.010710425,0.034047654,0.019606968,0.028344527,0.033738442,0.045329724,0.025829048,9.494603917
8/25/12,41146,10.87916667,10.8603125,11.08485417,10.69645833,10.48416667,10.68614583,11.1155625,10.71570833,0.138730311,0.144260721,0.221762763,0.123175875,0.18897071,0.267820199,0.66168344,0.226798154,0.020023996,0.020822242,0.032008698,0.017778906,0.027275573,0.038656516,0.095505778,0.032735494,9.453336408
8/26/12,41147,11.01229167,10.94114583,11.40147917,10.81729167,10.649375,10.81891667,11.23852083,10.77460417,0.151955195,0.155432272,0.565511555,0.140163121,0.291097748,0.312681323,0.634314171,0.287750833,0.021932843,0.022434716,0.081624562,0.020230804,0.042016341,0.045131662,0.091555364,0.041533255,9.448082233
8/27/12,41148,11.03229167,10.9803125,11.2434375,11.10729167,10.635625,10.8750625,11.23116667,10.70858333,0.128332009,0.108874739,0.268611315,0.140163121,0.274984767,0.405343899,0.562144614,0.268136186,0.01852313,0.015714715,0.038770704,0.020230804,0.039690632,0.058506352,0.081138586,0.038702125,NA
8/28/12,41149,10.97708333,10.95083333,11.12652083,11.30666667,10.56145833,10.7780625,10.98085417,10.53997917,0.136552668,0.120043136,0.147821196,0.210089478,0.258925682,0.348657267,0.410708521,0.207400783,0.01970968,0.017326734,0.021336152,0.030323804,0.037372703,0.050324342,0.059280669,0.029935724,NA
8/29/12,41150,10.91895833,10.85575,11.00970833,11.14354167,10.40083333,10.47989583,10.6916875,10.4391875,0.107628984,0.117235442,0.144366991,0.123175875,0.135675353,0.227736526,0.290623552,0.171195503,0.015534906,0.016921479,0.02083758,0.017778906,0.01958305,0.032870936,0.041947897,0.024709942,NA
8/30/12,41151,10.89583333,10.7770625,11.00060417,10.91395833,10.28229167,10.33854167,10.457375,10.32439583,0.166258365,0.08666011,0.207223154,0.111750855,0.086546988,0.160996228,0.220088051,0.115131514,0.023997328,0.01250831,0.029910086,0.016129847,0.012491982,0.023237804,0.031766974,0.016617803,NA
8/31/12,41152,10.805,10.75247917,11.10672917,10.81729167,10.213125,10.275875,10.39158333,10.23864583,0.084097208,0.083371506,0.432310504,0.140163121,0.088729957,0.125619253,0.183598409,0.064384976,0.012138386,0.01203364,0.062398646,0.020230804,0.012807066,0.018131577,0.026500148,0.009293171,NA
9/1/12,41153,10.86583333,10.736625,10.9513125,10.70854167,10.24770833,10.32833333,10.51089583,10.27789583,0.133222472,0.099320805,0.247065859,0.130236929,0.099792115,0.175802638,0.274756468,0.095184533,0.019229007,0.014335723,0.035660885,0.018798082,0.014403751,0.025374925,0.03965768,0.013738704,NA
9/2/12,41154,10.85333333,10.82977083,10.87970833,10.63,10.30645833,10.3595625,10.495625,10.3213125,0.084509431,0.126862673,0.090250233,3.93E-07,0.111536457,0.125915694,0.222829161,0.074672948,0.012197886,0.01831105,0.013026499,5.68E-08,0.016098901,0.018174365,0.032162619,0.010778112,NA
9/3/12,41155,10.83666667,10.85025,10.87572917,10.63,10.35104167,10.38152083,10.51866667,10.35139583,0.060259486,0.067644094,0.089448366,3.93E-07,0.095052943,0.130071664,0.200958589,0.077042608,0.008697708,0.009763584,0.01291076,5.68E-08,0.013719711,0.018774228,0.029005874,0.011120143,NA
9/4/12,41156,10.875625,10.93354167,11.07708333,10.75083333,10.4875,10.58110417,10.90647917,10.44375,0.1061694,0.116765989,0.264139457,0.144484901,0.258049146,0.313411512,0.617214608,0.139952043,0.015324233,0.016853719,0.038125247,0.020854599,0.037246186,0.045237055,0.089087255,0.020200337,NA
9/5/12,41157,11.054375,11.07275,11.47641667,10.91395833,10.675,10.82445833,11.3679375,10.80379167,0.081316462,0.096243817,0.386955428,0.12675558,0.26747042,0.279747832,0.834046032,0.213919348,0.01173702,0.013891598,0.055852205,0.018295592,0.03860603,0.040378121,0.120384175,0.030876598,NA
9/6/12,41158,11.32854167,11.31929167,11.57425,11.43,10.86916667,11.16127083,12.10789583,11.206375,0.13018791,0.182792052,0.338493314,0.393732818,0.350153968,0.313810062,0.816614736,0.375526559,0.018791006,0.02638376,0.048857301,0.056830437,0.050540372,0.045294581,0.117868184,0.05420259,NA
9/7/12,41159,11.54633333,11.42743333,11.85276667,11.80433333,11.04166667,11.38163333,12.90036667,11.38766667,0.193399414,0.274355506,0.484006959,0.398044213,0.355906645,0.415775095,1.015848057,0.55856919,0.035309741,0.050090233,0.088367177,0.072672598,0.064979366,0.0759098,0.185467632,0.101980315,NA
